,droit_d_auteur,Llama2-7B Accuracy,Pythia7B Accuracy,Pythia12B Accuracy,Olmo-7B Accuracy,Mistral7B Instruct Accuracy,Mixtral7x8B Accuracy,Mistral7B Accuracy,GPT-4 Accuracy,ChatGPT Accuracy,BERT Accuracy,Author,Title,Year,Bing Hits,Google Hits,Dolma Hits,C4 Hits,Pile Hits,Source,Sub-source,average,Source：Sub-source,ChatGPT predicted year,GPT-4 predicted year,ID,Date of Birth,Date of Death
98,private,0,0,0,0,0,0,0,0.09,0.03,0,Margaret Atwood,The Handmaid's Tale,1985,0.9,8.5,1.6,0,2.7,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1960,1985,atwood_the_handmaids_tale_The_Handmaid_s_Tale,1939/11/18,
99,public,0,0,0,0,0,0.01,0,0.09,0.01,0,Fanny Burney,"Evelina, Or, the History of a Young Lady's Entrance into the World",1778,0.4,3.2,1.2,0,1.8,pre-1923 LitBank,,,pre-1923 LitBank,1778,1778,6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world,1752-06-13,1840-01-06
105,private,0,0,0,0.02,0.06,0.02,0.02,0.08,0.06,0.01,Helen Hooven Santmyer,...And Ladies of the Club,1984,0,0,0,0,0,Bestsellers,,,Bestsellers,1914,1915,santmyer_and_ladies_of_the_club__...And_Ladies_of_the_Club_,1895-11-25,1986/2/21
106,public,0,0,0,0,0.01,0.01,0.02,0.08,0.02,0,"Horatio, Jr. Alger","Ragged Dick, Or, Street Life in New York with the Boot-Blacks",1868,0.2,2.5,4.1,0.6,3.2,pre-1923 LitBank,,,pre-1923 LitBank,1890,1870,5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks,1832-01-13,1899-07-18
103,private,0,0,0,0,0.01,0,0,0.08,0.02,0,Max Brooks,World War Z: An Oral History of the Zombie War,2006,0.3,2.3,0.3,0,1,Genre Fiction,Horror,,Genre Fiction：Horror,"Unknown (This passage appears to be from a work of fiction set in a fictional world, so it is impossible to determine a specific year.)",2006,brooks_world_war_z_World_War_Z:_An_Oral_History_of_the_Zombie_War,1972/5/22,
104,private,0,0,0,0,0.02,0.01,0,0.08,0.02,0,Irvine Welsh,Trainspotting,1993,1.3,2.6,0.3,0,3,Global,Europe,,Global,1993,1993,welsh_trainspotting_Trainspotting,1958/9/27,
102,public,0,0,0.01,0.01,0.01,0.02,0.01,0.08,0.02,0,H. Rider (Henry Rider) Haggard,Allan Quatermain,1887,0.2,1.9,2.9,1.2,5.2,pre-1923 LitBank,,,pre-1923 LitBank,1885,1887,711_allan_quatermain,1856-06-22,1925/5/14
100,private,0,0,0,0,0.02,0.03,0,0.08,0.03,0,Robert Penn Warren,All the King's Men,1947,0.1,2690.5,0.2,0.6,0.2,Pulitzer,,,Pulitzer,1950,1955,warren_all_the_kings_men_All_the_King_s_Men,1905/4/24,1989/9/15
101,,0,0,0,0.01,0,0,0,0.08,0.07,0,Joe Nazel,Every Goodbye Ain’t Gone,1982,0,0,0,0,0,BBIP,,,BBIP,1962,1965,nazel_every_goodbye_aint_gone_Every_Goodbye_Ain’t_Gone,,
112,public,0,0,0,0,0,0,0,0.07,0.02,0,Mrs. (Margaret) Oliphant,Miss Marjoribanks,1866,0,0.7,0.4,0,3,pre-1923 LitBank,,,pre-1923 LitBank,1866,1868,41286_miss_marjoribanks,1828-04-04,1897-06-25
111,private,0,0,0,0.01,0,0.02,0.02,0.07,0.02,0,Ralph Ellison,Invisible Man,1952,1.6,4.6,0.2,0,5.1,BBIP,,,BBIP,1952,1952,ellison_invisible_man_Invisible_Man,1914/3/1,1994/4/16
114,private,0,0,0,0,0.01,0,0.01,0.07,0.01,0,Anne Rice,Interview with the Vampire,1976,0.3,2864.1,1,0.2,4.6,Genre Fiction,Horror,,Genre Fiction：Horror,1976,1976,rice_interview_with_the_vampire_Interview_with_the_Vampire,1941/10/4,2021/12/11
116,private,0,0,0,0,0,0,0,0.07,0,0,Jamie McGuire,Beautiful Disaster,2011,0.3,1.5,0.6,0,0,Genre Fiction,Romance,,Genre Fiction：Romance,2012,2010,mcguire_beautiful_disaster_Beautiful_Disaster,1983/11/13,
113,public,0,0,0,0,0.01,0.01,0,0.07,0,0,E. M. (Edward Morgan) Forster,Howards End,1910,1.5,4.4,3,1.3,10.3,pre-1923 LitBank,,,pre-1923 LitBank,1910,1910,2891_howards_end,1879-01-01,1970/6/7
115,private,0,0,0,0,0,0,0,0.07,0.01,0,Isaac Asimov,Foundation,1951,0.5,4.1,1.6,0.3,3,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1951,1951,asimov_foundation_i_robot_Foundation,1920/1/2,1992/4/6
110,private,0,0,0,0,0.01,0.02,0,0.07,0.01,0,Helen Fielding,Bridget Jones's Diary,1996,0.4,11.2,1.2,0.2,1.9,Genre Fiction,Romance,,Genre Fiction：Romance,1996,1996,fielding_bridget_joness_diary_Bridget_Jones_s_Diary,1958/2/19,
109,public,0,0,0,0.02,0,0.04,0.01,0.07,0.04,0.02,Stephen King,The Shining,1977,0.4,4.4,0.8,3.8,1.2,Genre Fiction,Horror,,Genre Fiction：Horror,1977,1977,king_the_shining_The_Shining,1986/3/6,1915/10/8
108,public,0,0,0,0,0.01,0.03,0.02,0.07,0.03,0,Booth Tarkington,The Magnificent Ambersons,1918,0,1.6,2.1,0,4.7,pre-1923 LitBank,,,pre-1923 LitBank,1920,1920,8867_the_magnificent_ambersons,1869-07-29,1946/5/19
107,private,0,0,0,0.01,0,0,0,0.07,0,0,Sandra Cisneros,The House of Mango Street,1984,5.7,1113.2,8.1,0.8,2.6,Global,Americas,,Global,1978,1955,cisneros_the_house_on_mango_street_The_House_of_Mango_Street,1954/12/20,
125,private,0,0,0,0,0.01,0.01,0.02,0.06,0.09,0,Neal Stephenson,Snow Crash,1992,0.2,1.1,0.2,0.4,0.9,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1992,1992,stephenson_snow_crash_Snow_Crash,1959/10/31,
122,private,0,0.01,0,0,0.01,0.01,0.01,0.06,0.02,0,Ira Levin,Rosemary's Baby,1967,0.1,0.8,0.5,0.1,1,Genre Fiction,Horror,,Genre Fiction：Horror,1955,1967,levin_three_by_ira_levin_Rosemary_s_Baby,1929/8/27,2007/11/12
124,private,0,0,0,0,0,0,0.01,0.06,0.03,0,Octavia Butler,Dawn,1987,0.3,3.2,0.3,0.1,2.8,BBIP,,,BBIP,2025,1985,butler_dawn_Dawn,1947/6/22,2006/2/24
126,private,0,0,0,0,0.01,0,0,0.06,0.01,0.01,Ben Okri,The Famished Road,1991,0,0.6,0,0,2.2,Global,Africa,,Global,Unknown (as there is no clear indication of the time period in the passage),1980,okri_the_famished_road_The_Famished_Road,1959/3/15,
123,private,0,0,0,0,0.01,0,0,0.06,0,0,William Peter Blatty,The Exorcist,1971,0.1,1.1,0,0.1,0.2,Genre Fiction,Horror,,Genre Fiction：Horror,1971,1971,blatty_the_exorcist_The_Exorcist,1928/1/7,2017/1/12
120,public,0,0,0,0,0.02,0.01,0,0.06,0.04,0,G. K. (Gilbert Keith) Chesterton,The Man Who Was Thursday: A Nightmare,1908,1.7,49.8,9.7,2.4,10.6,pre-1923 LitBank,,,pre-1923 LitBank,1908,1908,1695_the_man_who_was_thursday_a_nightmare,1874-05-29,1936/6/14
121,private,0,0,0,0,0,0.03,0,0.06,0.02,0,Marilynne Robinson,Gilead,2005,2.1,29.2,4.2,3.4,1.4,Pulitzer,,,Pulitzer,1938,1980,robinson_gilead_Gilead,1943/11/26,
119,public,0,0,0,0,0.01,0,0,0.06,0.02,0,F. Scott (Francis Scott) Fitzgerald,This Side of Paradise,1920,1,3.2,4,0.4,11.3,pre-1923 LitBank,,,pre-1923 LitBank,1920,1920,805_this_side_of_paradise,1896-09-24,1940/12/21
118,public,0,0,0,0.01,0.02,0.01,0.01,0.06,0.01,0,William Wells Brown,Clotelle: A Tale of the Southern States,1853,0.7,1.5,3.9,3.8,6.7,pre-1923 LitBank,,,pre-1923 LitBank,1853,1853,2095_clotelle_a_tale_of_the_southern_states,1814-11-06,1884-11-06
117,public,0,0,0,0,0.01,0,0.01,0.06,0.01,0,Agatha Christie,The Secret Adversary,1922,0.4,2.6,5,2.1,1.3,pre-1923 LitBank,,,pre-1923 LitBank,1922,1922,1155_the_secret_adversary,1890-09-15,1976/1/12
138,private,0.01,0,0,0,0.01,0.02,0.02,0.05,0.01,0,Arthur Golden,Memoirs of Geisha,1997,0.1,91.3,1.2,0.3,2,Genre Fiction,Romance,,Genre Fiction：Romance,2005,1997,golden_memoirs_of_a_geisha_Memoirs_of_Geisha,1956/12/6,
134,private,0,0,0,0.01,0.02,0.01,0.02,0.05,0.04,0,Robert James Waller,The Bridges of Madison County,1993,0.3,1.8,0.5,0,2.1,Bestsellers,,,Bestsellers,1992,1992,waller_the_bridges_of_madison_county_The_Bridges_of_Madison_County,1939/8/1,2017/3/10
136,private,0,0,0,0,0.03,0.03,0.02,0.05,0.03,0,Barbara Kingsolver,The Poisonwood Bible,1999,0.2,2.8,0.8,0.2,1.1,Pulitzer,,,Pulitzer,1950,1959,kingsolver_the_poisonwood_bible_The_Poisonwood_Bible,1955/4/8,
144,public,0,0,0,0.01,0.04,0.03,0,0.05,0.03,0,Pauline E. Hopkins,Contending Forces: A Romance Illustrative of Negro Life North and South,1900,0,0,0.4,0,0.1,BBIP,,,BBIP,1920,1895,hopkins_contending_forces_Contending_Forces:_A_Romance_Illustrative_of_Negro_Life_North_and_South,1859-01-01,1930/8/13
143,public,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.05,0.05,0.05,Mary Wollstonecraft,Mary: A Fiction,1788,0.1,1.4,2,1.2,2,pre-1923 LitBank,,,pre-1923 LitBank,1798,1790,16357_mary_a_fiction,1759-04-27,1797-09-10
142,public,0,0,0,0,0,0,0,0.05,0.03,0,Rudolph Fisher,The Walls of Jericho,1928,0,0,0,0,0,BBIP,,,BBIP,1928,1920,fisher_the_walls_of_jericho_The_Walls_of_Jericho,1897-05-09,1934/12/26
141,public,0,0,0,0,0,0,0,0.05,0,0,Sinclair Lewis,Arrowsmith,1926,0.3,1.9,0.2,0,1.8,Pulitzer,,,Pulitzer,1922,1927,lewis_arrowsmith_elmer_gantry_dodsworth_Arrowsmith,1885-02-07,1951/1/10
140,public,0,0,0,0,0,0,0.01,0.05,0.01,0,Sinclair Lewis,Main Street,1920,0.3,2.3,0.5,1,4.9,pre-1923 LitBank,,,pre-1923 LitBank,1930,1930,543_main_street,1885-02-07,1951/1/10
139,private,0,0,0,0,0.01,0.01,0.01,0.05,0.02,0,Lydia Millet,Love in Infant Monkeys,2010,0.2,0.4,0.5,0,2,Pulitzer,,,Pulitzer,1979,1980,millet_love_in_infant_monkeys_Love_in_Infant_Monkeys,1968/12/5,
129,private,0,0,0,0,0,0,0.01,0.05,0.01,0,Ha Jin,Waiting,1999,0,0.5,0.3,0,1,Global,Asia,,Global,1969,1985,jin_waiting_Waiting,1956/2/21,
127,private,0,0,0,0,0.06,0,0.01,0.05,0.02,0,Paula Hawkins,The Girl on the Train (trade paperback),2016,0.2,1.6,0.4,0.6,4.3,Bestsellers,,,Bestsellers,2010,2010,hawkins_the_girl_on_the_train_The_Girl_on_the_Train__trade_paperback_,1927/1/24,2009/12/4
137,private,0,0,0,0,0,0,0,0.05,0,0,John Kennedy Toole,A Confederacy of Dunces,1981,0.9,2.1,0.9,19.8,2.1,Pulitzer,,,Pulitzer,1961,1963,toole_a_confederacy_of_dunces_A_Confederacy_of_Dunces,1937/12/17,1969/3/26
131,public,0,0,0,0,0.01,0.01,0,0.05,0.02,0,Virginia Woolf,Night and Day,1919,1.3,3.3,2.4,1,5,pre-1923 LitBank,,,pre-1923 LitBank,1922,1920,1245_night_and_day,1882-01-25,1941/3/28
135,public,0,0,0,0,0,0.01,0.01,0.05,0.01,0,William Wells Brown,"Clotel: or, the President’s Daughter",1853,0.6,2.9,3,3,7.6,BBIP,,,BBIP,1855,1850,"brown_clotel_or_the_presidents_daughter_gutenberg_pg2046_Clotel:_or,_the_President’s_Daughter",1814-11-06,1884-11-06
146,private,0,0,0,0,0.01,0.05,0,0.05,0.04,0,Mario Puzo,The Godfather,1969,1.5,288.6,1.7,3,2.2,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1962,1975,puzo_the_godfather_The_Godfather,1920/10/15,1999/7/2
145,private,0,0,0,0,0,0,0,0.05,0.01,0,Amor Towles,A Gentleman in Moscow,2017,0.1,0.8,0,0,0.9,Bestsellers,,,Bestsellers,1983,1960,towles_a_gentleman_in_moscow_A_Gentleman_in_Moscow,1964/10/24,
130,private,0,0,0,0,0.01,0.01,0,0.05,0.02,0,David Baldacci,Absolute Power,1995,0,0.5,0.6,0,1,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1982,1985,baldacci_absolute_power_Absolute_Power,1960/8/5,
128,private,0,0,0,0,0,0.01,0,0.05,0.02,0,Gillian Flynn,Gone Girl,2012,0.1,1.7,0.1,0.1,3,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,2012,2012,flynn_gone_girl_Gone_Girl,1971/2/24,
133,public,0,0,0,0,0,0,0,0.05,0.01,0,Michael Connelly,The Black Echo,1992,0,0.1,0.1,0,2,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1989,1995,connelly_the_black_echo_The_Black_Echo,1848-01-01,1944/1/1
132,private,0,0,0,0,0.01,0.01,0,0.05,0,0,Kathryn Stockett,The Help,2010,1.1,61.7,0.1,1.2,1.5,Bestsellers,,,Bestsellers,1962,1960,stockett_the_help_The_Help,1969/1/1,
167,private,0,0,0,0.02,0.01,0.01,0.03,0.04,0.05,0,Witi Ihimaera,Whale Rider,2006,0.2,1.5,0.3,0,0,Global,Oceania,,Global,1985,1985,ihimaera_the_whale_rider_Whale_Rider,1944/2/7,
170,private,0,0.01,0,0.01,0.02,0.01,0.02,0.04,0.02,0.01,Upton Sinclair,Dragon's Teeth,1943,0,0,0,0,1,Pulitzer,,,Pulitzer,1920,1920,sinclair_dragons_teeth_i_Dragon_s_Teeth,1878-09-20,1968/11/25
148,private,0,0,0,0,0.02,0.02,0.02,0.04,0.02,0,Viet Thanh Nguyen,The Sympathizer,2016,0.6,1.7,0.1,0.7,0.9,Pulitzer,,,Pulitzer,1987,2000,nguyen_the_sympathizer_The_Sympathizer,1971/3/13,
159,private,0,0,0,0.01,0.01,0.01,0.02,0.04,0.03,0,Bapsi Sidhwa,Cracking India,1988,0.1,1.3,0,0,0,Global,Asia,,Global,1980,1950,sidhwa_cracking_india_Cracking_India,1938/8/11,
172,private,0,0,0,0,0,0,0.01,0.04,0.05,0,Colleen McCullough,The Thorn Birds,1977,0.3,23.4,0.3,0.2,0.1,Genre Fiction,Romance,,Genre Fiction：Romance,1952,1965,mccullough_the_thorn_birds_The_Thorn_Birds,1937/6/1,2015/1/29
178,private,0,0,0,0,0,0.01,0.01,0.04,0.01,0.02,Florence Ladd,Sarah's Psalm,1996,0,0,0,0,0,BCALA,,,BCALA,1986,1965,ladd_sarahs_psalm_Sarah_s_Psalm,1932/6/16,
177,private,0,0,0,0.01,0.02,0.02,0.01,0.04,0.02,0,Gayl Jones,The Healing,1998,0,0,0,0,0,BCALA,,,BCALA,Unknown (as there is no clear indication of the time period in the passage),1980,jones_the_healing_The_Healing,1949/1/1,
173,public,0,0,0,0,0,0.01,0,0.04,0.01,0,Willa Cather,The Song of the Lark,1915,0,2.2,1.1,0,7.1,pre-1923 LitBank,,,pre-1923 LitBank,1915,1915,44_the_song_of_the_lark,1873-12-07,1947/4/24
164,private,0,0,0,0,0.02,0.01,0.01,0.04,0.02,0,Monica Ali,Brick Lane,2003,2.3,97.1,0.1,3,2.6,Global,Europe,,Global,1990,2000,ali_brick_lane_Brick_Lane,1967/10/20,
165,private,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,Ken Follett,Eye of the Needle,1978,0,1.1,0.3,0,2,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1962,1975,follett_eye_of_the_needle_Eye_of_the_Needle,1949/6/5,
176,public,0,0,0,0,0,0,0,0.04,0.01,0,Stephen King,It,1986,0.1,1.5,1.4,0.1,1.2,Genre Fiction,Horror,,Genre Fiction：Horror,1945,1970,king_it_It,1986/3/6,1915/10/8
171,private,0,0,0,0,0,0.01,0.01,0.04,0.03,0,Richard Flanagan,Gould's Book of Fish,2001,0.1,0.3,0.1,0,2,Global,Oceania,,Global,1982,1988,flanagan_goulds_book_of_fish_Gould_s_Book_of_Fish,1961/1/1,
155,private,0,0,0,0,0.01,0.02,0.01,0.04,0.01,0.01,Ishmael Reed,Flight to Canada,1976,0,0.1,0.6,0.1,2,BBIP,,,BBIP,1960,1955,reed_flight_to_canada_Flight_to_Canada,1938/2/22,
179,public,0,0,0,0,0,0,0,0.04,0.01,0,Joseph Conrad,The Secret Agent: A Simple Tale,1907,1.1,3.8,1.4,2.1,6.7,pre-1923 LitBank,,,pre-1923 LitBank,1924,1915,974_the_secret_agent_a_simple_tale,1857-12-03,1924/8/3
153,private,0,0,0,0,0.02,0.01,0.01,0.04,0.02,0,Michael Ondaatje,The English Patient,1992,0.4,3.1,0.4,0.3,1.1,Genre Fiction,Romance,,Genre Fiction：Romance,unknown (as there is no clear indication of a specific year in the passage),1992,ondaatje_the_english_patient_The_English_Patient,1943/9/12,
181,public,0,0,0,0.04,0,0,0,0.04,0.01,0,Mary Roberts Rinehart,The Circular Staircase,1908,0.2,352.5,6.9,1.9,7.7,pre-1923 LitBank,,,pre-1923 LitBank,1878,1915,434_the_circular_staircase,1876-08-12,1958/9/22
151,private,0,0,0,0,0.02,0,0.01,0.04,0,0,James Gould Cozzens,Guard of Honor,1949,0,0,0,0,0,Pulitzer,,,Pulitzer,1950,1943,cozzens_guard_of_honor_Guard_of_Honor,1903/8/19,1978/8/9
147,private,0,0,0,0,0,0.02,0.01,0.04,0.02,0.01,James A. Michener,The Source,1965,0,0.4,0.1,0,2,Bestsellers,,,Bestsellers,1965,1970,michener_the_source_The_Source,1907/2/3,1997/10/16
163,public,0,0,0,0,0,0,0,0.04,0,0,Thomas Pynchon,Gravity's Rainbow,1974,0,1.3,0,0,0,Pulitzer,,,Pulitzer,1973,1973,pynchon_gravitys_rainbow_Gravity_s_Rainbow,1760-05-23,1796-09-10
160,private,0,0,0,0.01,0.03,0.02,0.01,0.04,0.03,0,Paul Beatty,The White Boy Shuffle,1996,0,0.7,0.6,0,0.9,BBIP,,,BBIP,1985,2023,beatty_the_white_boy_shuffle_The_White_Boy_Shuffle,1962/1/1,
174,private,0,0,0,0,0,0,0,0.04,0.01,0.01,Raymond Andrews,Appalachee Red,1978,0,0,0,0,0,BBIP,,,BBIP,1930,1970,andrews_appalachee_red_Appalachee_Red,1934/6/6,1991/11/25
166,private,0,0,0,0,0,0,0,0.04,0.01,0,Dean Koontz,Watchers,1987,0.2,0.6,0.4,0,0.8,Genre Fiction,Horror,,Genre Fiction：Horror,1998,1987,koontz_a_new_collection_Watchers,1945/7/9,
168,private,0,0,0,0.01,0.01,0,0,0.04,0.04,0.01,Mary Ellen Chase,Mary Peters,1934,0,0,0,0,0,Bestsellers,,,Bestsellers,1937,1930,chase_mary_peters_Mary_Peters,1887-02-24,1973/7/28
169,private,0,0,0,0,0,0,0,0.04,0.02,0,Raymond Chandler,The Big Sleep,1939,0.3,2.7,1,0,6.6,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1949,1940,chandler_the_big_sleep_The_Big_Sleep,1888-07-23,1959/3/26
175,,0,0,0,0.02,0,0.01,0,0.04,0.03,0.01,Daniel Panger,Black Ulysses,1982,0,0,0,0,0,BBIP,,,BBIP,16th century (exact year cannot be determined as the passage is from a historical context),1940,panger_black_ulysses_Black_Ulysses,,
180,private,0,0,0,0.01,0.01,0.01,0,0.04,0.02,0,John Banville,The Book of Evidence,1989,0,0,0.9,0,2.5,Global,Europe,,Global,1967,1960,banville_the_book_of_evidence_The_Book_of_Evidence,1945/12/8,
154,public,0,0,0,0.01,0,0.01,0,0.04,0.02,0,Jean Webster,Dear Enemy,1915,0,1.4,2.1,0.4,4,pre-1923 LitBank,,,pre-1923 LitBank,1912,1915,238_dear_enemy,1876-07-24,1916/6/11
162,private,0,0,0,0,0,0.02,0,0.04,0.02,0,Jean Rhys,Wide Sargasso Sea,1966,0.5,86.6,3.3,0.5,2,Global,Americas,,Global,1978,1985,ryhs_wide_sargasso_sea_Wide_Sargasso_Sea,1890-08-24,1979/5/14
149,private,0,0,0,0,0,0.02,0,0.04,0.04,0,Octavia Butler,Imago,1989,0,0.4,2.6,0,2.7,BBIP,,,BBIP,Uncertain (This passage appears to be from a work of science fiction and does not contain any clear indicators of a specific year.),1987,butler_imago_Imago,1947/6/22,2006/2/24
150,private,0,0,0,0,0,0,0,0.04,0,0,R. K. Narayan,Swami and Friends,1935,0.1,2.7,0.3,0.2,4.2,Global,Asia,,Global,1930,1935,narayan_swami_and_friends_Swami_and_Friends,1906/10/10,2001/5/13
152,private,0,0,0,0,0,0,0,0.04,0,0,Elmore Leonard,Get Shorty,1990,0,0.2,0,0.3,2.7,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1983,1995,leonard_get_shorty_Get_Shorty,1925/10/11,2013/8/20
156,private,0,0,0,0,0,0,0,0.04,0,0,John le Carré,The Spy Who Came In from the Cold,1963,0.5,1.9,2,0.2,5.4,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1963,1963,lecarre_the_spy_who_came_in_from_the_cold_The_Spy_Who_Came_In_from_the_Cold,1931/10/19,2020/12/12
158,private,0,0,0,0,0.01,0.02,0,0.04,0.02,0,Paule Marshall,Praisesong for the Widow,1983,0,0.1,0,0,0,BBIP,,,BBIP,1962,1975,marshall_praisesong_for_the_widow_Praisesong_for_the_Widow,1929/4/9,2019/8/12
157,private,0,0,0,0,0,0,0,0.04,0.01,0,Frances Parkinson Keyes,Joy Street,1950,0,0,0,0,0,Bestsellers,,,Bestsellers,1930,1920,keyes_joy_street_Joy_Street,1885-07-21,1970/7/3
161,private,0,0,0,0,0,0.01,0,0.04,0.03,0,Agatha Christie,And Then There Were None,1939,1.1,55.2,1.5,1.2,2,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1930,1940,christie_and_then_there_were_none_And_Then_There_Were_None,1890-09-15,1976/1/12
212,private,0,0,0,0,0,0,0.04,0.03,0,0,A. Hamilton Gibbs,Soundings,1925,0,0,0,0,0,Bestsellers,,,Bestsellers,1920,1920,gibbs_soundings_Soundings,1888-01-01,1964/1/1
227,private,0,0,0,0,0,0,0.02,0.03,0.04,0,Jean M. Auel,The Plains of Passage,1990,0,0,0,0,0.9,Bestsellers,,,Bestsellers,"Unknown (This passage appears to be from a work of fiction set in prehistoric times, so it is impossible to assign a specific year.)",1985,auel_the_plains_of_passage_The_Plains_of_Passage,1936/2/18,
203,private,0,0,0,0,0.01,0,0.02,0.03,0,0,Allen Drury,Advise and Consent,1960,0,0,0,0,0,Pulitzer,,,Pulitzer,1960,1960,drury_advise_and_consent_Advise_and_Consent,1918/9/2,1998/9/2
184,private,0,0,0,0,0,0,0.02,0.03,0,0,Margaret Craven,I Heard the Owl Call My Name,1974,0,0,0.1,0,0.9,Bestsellers,,,Bestsellers,1960,1950,craven_i_heard_the_owl_call_my_name_I_Heard_the_Owl_Call_My_Name,1901/3/13,1980/7/19
208,public,0,0,0.01,0,0,0,0,0.03,0.01,0.01,James McBride,The Good Lord Bird,2013,0,0,0,0,1,BCALA,,,BCALA,1850,1870,mcbride_the_good_lord_bird_The_Good_Lord_Bird,1873-12-30,1950/1/1
210,public,0,0,0,0,0,0,0,0.03,0.01,0,Rebecca Harding Davis,"Life in the Iron-Mills; Or, The Korl Woman",1861,1.2,3.5,7.2,2,9.7,pre-1923 LitBank,,,pre-1923 LitBank,1856,1861,876_life_in_the_ironmills_or_the_korl_woman,1831-06-24,1910/9/29
209,public,0,0,0,0.02,0.01,0,0,0.03,0.01,0.01,Charles Waddell Chesnutt,House Behind the Cedars,1900,0,2.3,4.4,0.5,5,BBIP,,,BBIP,1899,1899,chesnutt_the_house_behind_the_cedars_gutenberg_pg472_House_Behind_the_Cedars,1858-06-20,1932/1/1
207,public,0,0,0,0.01,0.01,0.01,0,0.03,0.04,0,James Baldwin,Go Tell It on The Mountain,1953,1.9,8.8,0.3,0.8,1.4,BBIP,,,BBIP,1960,1950,baldwin_go_tell_it_on_the_mountain_Go_Tell_It_on_The_Mountain,1833-01-01,1875-02-14
211,private,0,0,0,0,0,0.02,0.01,0.03,0.03,0,Philip Roth,Portnoy's Complaint,1969,0,1.8,0.3,0.4,2.1,Bestsellers,,,Bestsellers,1961,1963,roth_portnoys_complaint_Portnoy_s_Complaint,1933/3/19,2018/5/22
214,private,0,0,0,0.01,0.01,0.02,0.01,0.03,0.02,0.02,Frederick Forsyth,The Odessa File,1973,0.3,0.7,0.1,0,0.9,Bestsellers,,,Bestsellers,1945,1972,forsyth_the_odessa_file_The_Odessa_File,1938/8/25,
213,private,0,0.01,0.01,0,0.01,0.02,0.01,0.03,0.02,0,Gayl Jones,Corregidora,1975,0,0.3,0,0,1,BBIP,,,BBIP,1970,1970,jones_corregidora_Corregidora,1949/1/1,
219,private,0,0,0,0.01,0.01,0,0.01,0.03,0.01,0,Toni Morrison,Sula,1973,0.3,3.8,1.8,0.444,1.2,BBIP,,,BBIP,1917,1950,morrison_sula_Sula,1931/2/18,2019/8/5
220,private,0,0,0,0,0.01,0.01,0.01,0.03,0.02,0.01,Toni Cade Bambara,The Salt Eaters,1980,0,0.2,0,0.1,2,BBIP,,,BBIP,1973,1968,bambara_salt_eaters_The_Salt_Eaters,1939/3/25,1995/12/9
225,private,0,0,0,0,0.03,0.01,0.01,0.03,0.02,0,MacKinlay Kantor,Andersonville,1956,0,0.6,0,0.5,1.7,Pulitzer,,,Pulitzer,1937,1935,kantor_andersonville_Andersonville,1904/2/4,1977/10/11
183,private,0,0,0,0,0,0,0.01,0.03,0.01,0.01,Patricia Grace,Potiki,1987,0,0.3,0.1,0,1,Global,Oceania,,Global,Uncertain,1985,grace_potiki_Potiki,1937/8/17,
186,private,0,0,0,0.01,0.01,0,0.01,0.03,0.01,0,Qiu Xiaolong,When Red Is Black,2004,0,0,0.6,0,0.8,Global,Asia,,Global,1989,1997,xiaolong_when_red_is_black_When_Red_Is_Black,1953/1/1,
197,private,0,0,0,0,0,0.01,0.01,0.03,0.01,0,Elizabeth Wein,Code Name Verity,2012,0,0.6,0.2,0,0.2,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1940,1945,wein_code_name_verity_Code_Name_Verity,1964/10/2,
193,private,0,0,0,0,0,0,0.01,0.03,0.03,0,Ira Levin,The Stepford Wives,1972,1.8,7.5,0.3,0.7,1.5,Genre Fiction,Horror,,Genre Fiction：Horror,1960,1965,levin_three_by_ira_levin_The_Stepford_Wives,1929/8/27,2007/11/12
216,private,0,0,0,0,0,0,0,0.03,0.01,0,Thomas Harris,The Silence of the Lambs,1988,0.5,2.2,1.2,0.2,1,Genre Fiction,Horror,,Genre Fiction：Horror,1988,1988,harris_the_silence_of_the_lambs_The_Silence_of_the_Lambs,1895-01-01,1974/2/18
215,private,0,0,0,0,0,0,0,0.03,0.01,0,Khaled Hosseini,A Thousand Splendid Suns,2007,1.3,12.8,1.7,0.1,0.7,Bestsellers,,,Bestsellers,2007,2003,hosseini_a_thousand_splendid_suns_A_Thousand_Splendid_Suns,1965/3/4,
